Rule_Idx,Seed_Rule,True_Test_1,True_Test_2,True_Test_3,True_Test_4,True_Test_5,False_Test_1,False_Test_2,False_Test_3,False_Test_4,False_Test_5,True_Example_1,True_Example_2,True_Example_3,True_Example_4,True_Example_5,True_Example_6,True_Example_7,True_Example_8,True_Example_9,True_Example_10,False_Example_1,False_Example_2,False_Example_3,False_Example_4,False_Example_5,False_Example_6,False_Example_7,False_Example_8,False_Example_9,False_Example_10
1,The input is all uppercase.,A QUICK BROWN FOX JUMPS OVER THE LAZY DOG.,HAPPINESS IS A WARM PUPPY.,TOMORROW IS ANOTHER DAY.,EVERY MOMENT IS A FRESH BEGINNING.,TURN YOUR WOUNDS INTO WISDOM.,"Life is a journey, not a destination.","What we think, we become.",The best time to plant a tree was 20 years ago. The second best time is now.,An unexamined life is not worth living.,"Your time is limited, don't waste it living someone else's life.",DREAM BIG AND DARE TO FAIL.,"SMILE, BREATHE, AND GO SLOWLY.","WHEREVER YOU GO, GO WITH ALL YOUR HEART.","DO WHAT YOU CAN WITH ALL YOU HAVE, WHEREVER YOU ARE.",BELIEVE YOU CAN AND YOU'RE HALFWAY THERE.,THE ONLY WAY TO DO GREAT WORK IS TO LOVE WHAT YOU DO.,"IF YOU WANT TO LIVE A HAPPY LIFE, TIE IT TO A GOAL, NOT TO PEOPLE OR THINGS.",THE FUTURE BELONGS TO THOSE WHO BELIEVE IN THE BEAUTY OF THEIR DREAMS.,THE PURPOSE OF OUR LIVES IS TO BE HAPPY.,LIFE IS WHAT HAPPENS WHEN YOU'RE BUSY MAKING OTHER PLANS.,Get busy living or get busy dying.,"Whether you think you can or you think you can't, you're right.",The only impossible journey is the one you never begin.,"In order to write about life first, you must live it.","The big lesson in life, baby, is never be scared of anyone or anything.","Sing like no one's listening, love like you've never been hurt, dance like nobody's watching.","Curiosity about life in all of its aspects, I think, is still the secret of great creative people.","Life is not a problem to be solved, but a reality to be experienced.",The healthiest response to life is joy.,"Life is really simple, but men insist on making it complicated."
2,The input starts with a vowel.,An apple a day keeps the doctor away.,Every journey begins with a single step.,"In the end, we only regret the chances we didn’t take.","Opportunities don't happen, you create them.",Understanding is deeper than knowledge.,The quick brown fox jumps over the lazy dog.,Learning is a treasure that will follow its owner everywhere.,"Good friends are hard to find, harder to leave, and impossible to forget.",Time flies like an arrow; fruit flies like a banana.,Honesty is the first chapter in the book of wisdom.,Elephants are the largest land animals on Earth.,Umbrellas are useless in a storm.,After the storm comes the calm.,Ideas are the beginning points of all fortunes.,"Under the microscope, the cell structure was clear.",Always deliver more than expected.,Eating healthy is key to a good life.,Open your mind to new experiences.,Ice cream is best on a hot day.,Unseen efforts are often the most valuable.,Books are uniquely portable magic.,Music expresses that which cannot be put into words.,"Knowledge speaks, but wisdom listens.","Laughter is timeless, imagination has no age, and dreams are forever.","Nature does not hurry, yet everything is accomplished.","Quality is not an act, it is a habit.",Success usually comes to those who are too busy to be looking for it.,Travel expands the mind and fills the gap.,Variety is the spice of life.,"Work hard in silence, let your success be the noise."
3,The input ends with a punctuation mark.,Today is a beautiful day!,What time is the meeting scheduled for?,I can't believe it's already October.,Please call me when you arrive.,The cat sat on the mat.,I think we should go to the beach today,Let's meet at the usual place at noon,She said she would call me later,This is one of the best restaurants in town,He is planning to move to a new city next month,Are we there yet?,I really enjoyed the movie last night!,Could you please pass the salt?,It's raining again.,Watch out for the dog!,How many people are coming to the party?,I'm looking forward to the weekend.,That's a great idea!,Can you help me with this task?,The book was better than the movie.,The weather has been really unpredictable lately,I need to buy some groceries on my way home,The new season of the show starts next week,I usually take a walk in the park in the evenings,They are going to announce the results tomorrow,I have been reading a lot of books during quarantine,The museum is closed on Mondays,She plays the piano beautifully,We should start preparing for the exam,He's been working on that project for ages
4,The input contains exactly three words.,Dogs chase cats.,Sun rises daily.,Leaves fall gently.,Stars shine brightly.,Birds fly south.,The sun is shining.,Leaves fall from trees.,Birds migrate in winter.,A gentle breeze blows.,Children often play games.,Apples taste sweet.,Fish swim deep.,Children play outside.,Rain dampens streets.,Wind rustles leaves.,Snow covers hills.,Books fill shelves.,Art imitates life.,Dreams inspire action.,Music soothes souls.,Rain makes the grass grow.,The wind howls at night.,Snowflakes are falling softly.,Books are in the library.,Art reflects a culture's values.,Dreams can be very vivid.,Music can be therapeutic.,Cats are curious creatures.,Dogs bark loudly at strangers.,Fish live in water.
5,The input is a palindrome (reads the same forwards and backwards).,racecar,madam,12321,aibohphobia,level,hello,computer,apple,sunshine,15432,deed,radar,civic,rotator,refer,wow,ABBA,noon,kayak,reviver,dictionary,elephant,language,987654,playground,music,festival,24680,mountain,bridge
6,The input contains more vowels than consonants.,Eerie and airy aura.,Unique antique boutique.,Idea arena ideal.,Oasis of the sea.,Unusual usuals unite.,Strong winds challenge sailors.,Mountains stand resilient.,Books bring knowledge.,Winter nights grow longer.,Trees shelter wildlife.,Aerial views are amazing.,Euphoria in the area.,Sequential equator sequence.,Ooze of the zoo.,Equine inquiry inquires.,Aurora over the area.,Utopian ideas unite.,Euphoric euphonium echoes.,Equatorial areas are quiet.,Utopia is a unique idea.,Clocks measure time.,Stars brighten night skies.,Rivers flow to seas.,Birds migrate annually.,Gardens bloom in spring.,Rain nourishes the earth.,Music transcends language.,Art reflects culture.,Technology advances rapidly.,History teaches lessons.
7,The input includes a color name.,A beautiful blue sky.,She wore a red dress.,The green grass is wet.,He bought a yellow car.,The pink flowers are blooming.,It's a sunny day.,The cat sleeps peacefully.,Apples are my favorite fruit.,Walking in the rain is relaxing.,The book was incredibly engaging.,She painted the wall white.,The sky at sunset is orange.,I lost my purple pen.,Black cats are superstitious.,Grey clouds bring rain.,The yellow dog played outside.,My favorite shirt is maroon.,The white necklace was shiny.,Violet is a lovely color.,The brown table needs dusting.,Music can be very soothing.,My phone battery is low.,Stars twinkle in the night sky.,She makes delicious cakes.,The mountain view is breathtaking.,Elephants are fascinating creatures.,He runs every morning.,The lake is very deep.,History fascinates me.,The car stopped abruptly.
8,The input has an even number of alphanumeric characters.,a2,3k7m,yzt4,qw3456,123ab78c,a,3k7,y3t4f,q34561w,13ab78d,1a5b7c,123456789012,x234y567za,aa1199557733,0123abgh89,abcd56ef78hi,1234aq5678ws,1a2b3c4d7e8f,qwer3456asdf,z123x456789a,a5b72,12390,2x234y7,a1g2h32,012agh8,ab3de71,23a,1,111dasdfg,z2314aadf
9,The input includes a proper noun.,John walked to the park.,The capital of France is Paris.,Abraham Lincoln was the 16th president.,Mt. Everest is in the Himalayas.,Microsoft was founded in 1975.,The vehicle sped down the street.,The large mountain peak was covered in snow.,The young girl walked slowly to school.,The bright blue water was crystal clear.,The canyon was deeper than the length of two football fields.,Sally rode her bike to school.,The Nile river flows through Egypt.,Ryan flew from Berlin to London.,February has 28 days.,Alaska is very cold in winter.,My friend Alice likes to draw.,The Eiffel Tower is in Paris.,Jupiter is a gas giant planet.,The Sahara desert expands the northern third of Africa.,We learned about Martin Luther King Jr.,The strong wind caused dust to blow everywhere.,The river extended for many miles across the plain.,The house was bigger than the garage.,The flowers were fragrant after the spring rain.,The meal was cooked to perfection after hours in the oven.,The ideas were thoughtfully presented to convince the crowd.,The icy terrain stretched as far as the eye could see.,The sheer cliff overlooked the valley below.,The decision was made carefully after much deliberation.,The towering trees provided ample shade.
10,The input contains a verb in past tense.,The girl jumped rope yesterday.,The children laughed and played in the park.,Sarah finished her homework and went to basketball practice.,I asked my friend for advice about the situation.,The pie cooled on the counter before dinner.,Children play in the park every Saturday.,The pie cools on the counter every night.,Sam draws pictures every weekend.,Lightning flashes light up the sky.,Our team scores often with strong hitters.,It snowed three inches last night in that area.,Sam drew a picture of mountains and a sun.,The lightning flashed during the intense thunderstorm.,Our team scored five runs in the third inning.,The author wrote novels that captivate readers.,Sally was disappointed when she failed the exam.,The turkey roasted in the oven for several hours.,The President honored military veterans last November.,Tectonic plates shifted after the earthquake.,The contractor built our house in sixty days.,The author writes fantasy books.,Sally fails exams no matter how hard she studies.,The turkey roasts perfectly every year.,The President honors veterans twice a year.,Tectonic plates shift gradually over decades.,Contractors build over a hundred houses a year in town.,Clouds form on hot and humid days.,Students understand math with good instruction.,Politicians make unrealistic promises.,Doctors help many patients through work.
11,The input contains a word longer than 7 letters.,The massive ship sailed across the ocean.,The children liked watching cartoons on television.,Promising research about technology.,The actress performed perfectly during the drama.,Helpful assistants provide help.,Dogs play at parks.,Kids draw art.,Cars turn left from this new road.,Birds can and will fly very high.,Cats meow loud.,Bicycles go around the neighborhood.,Photographs are framed.,The talented musician played emotional songs.,Students listen to the lecture.,Funny comedians tell entertaining jokes.,An engine operates smoothly.,An organized planner contains thorough details.,My delicious dessert is chocolate.,The fragmentary pieces formed an incomplete puzzle.,Imaginative dreams are cool.,The toys break quick.,The new games will start now.,The clouds form shapes.,Boring days pass slow.,The work ends fast.,We talk way too much.,Most men should agree more and more.,Few come by.,Yet you should come and try again!,Also shine bright.
12,"The input includes a number spelled out (e.g., ""five"").",There are three apples on the table.,She read seven books last month.,He walked four miles yesterday.,I have two cats and one dog.,They scored five goals in the game.,The cat is sleeping on the sofa.,It was a sunny day in Paris.,They went to the beach last weekend.,She loves painting landscapes.,He drives a red car.,She spent nine hours studying for the exam.,The recipe calls for six eggs.,I need to buy eight new pencils for class.,He practiced piano for ten minutes.,The movie starts in fifteen minutes.,They have eleven players on their team.,She has twelve pairs of shoes.,The building has twenty floors.,She bought thirty-one flowers for the event.,He has read nineteen books this year.,The book was very interesting.,They had pasta for dinner.,She is learning to play the violin.,The garden has beautiful roses.,He enjoys hiking in the mountains.,The concert was absolutely fantastic.,She made a delicious chocolate cake.,They are planning a trip to Japan.,The museum exhibits ancient artifacts.,He is studying astrophysics at the university.
13,The input contains a rhyming pair of words.,Bright night.,Cats in hats.,Dream team.,Flying high in the sky.,Jolly folly.,A lovely day.,Blue skies above.,"Crisp, cold morning.",Dancing in the rain.,Eager to learn.,Mighty fight.,Rainy daisy.,"Shiny, tiny stars.",Silly Billy.,Snail trail.,"The quick fox jumps over the lazy, hazy days.",Time to climb.,Vivid and livid.,Whale tale.,"Zesty, besty flavors.",Fast cars.,Great minds think alike.,Happy and content.,Ice cream is sweet.,Jumping with joy.,Knowledge is power.,Lions roar in the jungle.,Mountains are high.,Nature's beauty is unparalleled.,Open book on the table.
14,The input includes a city or country name.,I visited Paris last summer.,Germany is known for its excellent engineering.,Cairo's history is fascinating.,Tokyo is a bustling metropolis.,Canada's landscapes are breathtaking.,Apples are my favorite fruit.,Learning a new language can be challenging.,Mountains are majestic natural formations.,The novel I'm reading is captivating.,Science has always fascinated me.,Exploring the streets of Rome was amazing.,Brazil is famous for its vibrant culture.,The architecture in Barcelona is stunning.,Australia's wildlife is unique.,Walking through New York City is always an adventure.,The Great Wall is one of China's most famous landmarks.,India is a land of diverse cultures.,The beaches in Miami are beautiful.,I'm learning about the history of London.,Mexico is known for its delicious cuisine.,Art is a form of expression.,Baking bread is a rewarding activity.,Running is a great way to stay fit.,Music brings joy to many people.,Education is essential for personal growth.,The ocean's depths are largely unexplored.,Technology is advancing rapidly.,Friendship is important in life.,Stargazing on a clear night is mesmerizing.,Cooking is both an art and a science.
15,"The input contains a word repeated consecutively (e.g., ""very very"").",I am so so excited to be here.,It's really really good to see you.,This is a very very important issue.,Can you can you please help me?,"She was lost in a dream, dream like state.",I'm looking forward to our meeting.,The sun sets beautifully over the hills.,Can you help me solve this puzzle?,She sang a lovely song at the concert.,Mathematics is a subject that interests me.,The cat cat quickly ran across the yard.,"Tomorrow, tomorrow I will start fresh.",He said that that was his final decision.,This is the best best cake I've ever had.,"I need to do it now now, not later.",Let's go go to the park today.,They were here here just a moment ago.,"The answer is yes yes, absolutely.","She whispered, 'hello hello' into the phone.",The dog dog barked all night long.,We're planning a trip to the mountains.,Reading books is a great hobby.,He plays the guitar exceptionally well.,The recipe calls for fresh ingredients.,Let's meet tomorrow morning for coffee.,She writes poetry in her free time.,Exercise is important for good health.,The museum has an impressive art collection.,Technology has changed the way we communicate.,The garden is full of vibrant flowers.
16,The input includes an animal name.,A beautiful parrot is sitting on the tree.,Cats are very independent animals.,The dog barked loudly last night.,Elephants are the largest land mammals.,Goldfish make great beginner pets.,The sun sets beautifully over the mountains.,A rainbow appeared after the rain.,Mathematics is a fascinating subject.,Baking bread requires patience and skill.,Cars have evolved significantly over the decades.,Horses can run very fast.,Kangaroos are native to Australia.,Lions are known as the king of the jungle.,Monkeys are very intelligent creatures.,Owls can rotate their heads almost all the way around.,Pandas mostly eat bamboo.,"Quails are small, plump birds.",Rabbits have long ears.,Snakes are reptiles without legs.,Turtles have a hard shell for protection.,Painting is a form of creative expression.,Technology has transformed our lives.,Reading books is a great hobby.,Music brings people together.,Learning languages can be challenging.,The moon affects the tides.,History teaches us about the past.,Architecture involves both art and science.,Gardening is a relaxing activity.,Photography captures moments in time.
17,"The input contains a mathematical symbol (e.g., %, =, +).",2 + 2 = 4,15% discount on all items,x > y in most cases,A = πr²,50 - 25 = 25,It's a sunny day outside,The book was incredibly thrilling,"Hello, how are you doing?",The quick brown fox jumps over the lazy dog,Our meeting is scheduled for tomorrow,y ≤ 10 when x ≥ 5,Profit margin: 20%,3 × 3 equals 9,Velocity = Distance / Time,Temperature ≠ Comfort,Earnings increased by 5%,z ≈ 15.2 according to the calculation,Divide 100 by 5 to get 20,Area < Perimeter in this case,Balance = $1000 - Expenses,I love the taste of fresh strawberries,Can you please turn down the music?,What time is the train scheduled to arrive?,This is a great example of teamwork,I need to buy some groceries,The movie starts at 8 PM,Please remember to water the plants,That's an interesting perspective,Could you help me with this task?,The history of Rome is fascinating
18,"The input contains a word with a hyphen (e.g., ""well-known"").",The well-known author released a new book.,My brother-in-law is visiting us next weekend.,She gave a state-of-the-art presentation at the conference.,It's a user-friendly interface.,The long-awaited sequel to the movie was disappointing.,The cat slept on the windowsill.,It was raining heavily yesterday.,The book on the table is mine.,They went to the park in the afternoon.,Can you help me with this problem?,His advice was always spot-on.,We need a cost-effective solution for this project.,The children enjoyed a fun-filled day at the park.,Our team is working on a high-quality product.,The self-driving car malfunctioned.,That was a heart-wrenching story.,The software update includes a bug-fix package.,She wore a custom-made dress to the event.,The sun-drenched beach was inviting.,This is a world-class facility.,The cake was absolutely delicious.,I have a meeting scheduled at three.,His jokes always make me laugh.,The flowers in the garden are blooming.,We watched a movie last night.,She studied hard for the exams.,The new restaurant in town is amazing.,Can you turn down the music a bit?,He plays soccer every weekend.,The museum is closed on Mondays.
19,"The input includes a form of address (e.g., Mr., Dr.).",Dr. Smith will be arriving soon.,Please forward the documents to Mr. Johnson.,Mrs. Brown's garden is lovely this time of year.,"Sir, could you please help me with this?","Hello, Ms. Davis, how are you today?",The cat sat on the mat.,It was a bright sunny day.,"Can you pass the salt, please?",The library is open until 8 PM.,A beautiful rainbow appeared after the rain.,Professor Green has published a new article.,Can you ask Dr. Martinez about the meeting schedule?,Mr. and Mrs. Lee celebrated their anniversary.,"Thank you, Miss Thompson, for your assistance.",Lady Hamilton will be attending the gala.,Colonel Parker has retired from the army.,Captain Singh is in charge of the ship.,Reverend Miller gave a moving sermon.,Sergeant Cooper led the training session.,Detective Gomez solved the case brilliantly.,"My favorite book is ""To Kill a Mockingbird.""",We are going on vacation next week.,The car needs to be serviced soon.,I enjoy playing the piano in my free time.,The recipe calls for two cups of flour.,The museum has an exhibition on ancient Egypt.,My phone battery is almost dead.,The supermarket is having a sale this weekend.,I learned how to swim when I was five.,The concert was absolutely amazing.
20,"The input contains a word with silent letters (e.g., ""knight"").",The castle's knight was very brave.,She wrote a thorough report.,He knew the answer immediately.,The plumber fixed the leaky faucet.,The island is beautiful in summer.,The dog barked loudly at night.,She enjoys sunny weather.,The car raced down the street.,He plays the guitar beautifully.,The train arrived late.,The debris was scattered everywhere.,The subtle nuances were important.,I often read before bedtime.,The sword's hilt was ornate.,The ballet was exquisite.,The yacht sailed smoothly.,Aisle seats are my preference.,The lamb was very quiet.,The plumber fixed a gnarly problem.,The scent of flowers filled the air.,The book was on the table.,The cake was delicious and moist.,Birds sing in the morning.,She ran a marathon last year.,The movie was exciting and fun.,He painted a colorful picture.,The river flows gently.,The phone rang three times.,The garden was full of roses.,The stars were bright last night.